"","Song","lyrics"
"1","Initialisation","Bienvenue  programme Trinity  Veuillez composer votre code personnel trois chiffres afin accéder votre interface  Authentification cours  Accès autorisé  Initialisation programme Trinity"
"2","MEGATRON"," yeux  gens  ja  soleil près  voisDe montrer chemin rallumer flamme  éteint  doisTu  loin lois     soir  étoile  noirTu  loin  demain reviens loin   vraiment choix   Augmente pression  pression  Augmente pression Augmente pression  pression  Augmente pression      éléphant  on  toujours  fort  raison Éteins toutes télévisions  fuck représentation missionIls chaud    saison    cabine  réseauFais trop comparaisons ramène flow   dernière livraison Baby  chant  pouvoir offrir  ChanelBien   sa allait niquer tait  question années Tout  char    lames rasoir  écharpe  sorti cartes    tous quitté table merde    Augmente pression  pression  Augmente pression Augmente pression  pression  Augmente pression   ouais bien   jeune tisse revient Celui  chaud   Fran  achète album marche  revente  arrêteplein  périph  loin  bien DigitalMundo    Year date  hier  peux trouer boule  yeuzMes niggas font  secoue tête  banquette arrièreMais    faute dire      niquer  viennentnous contrôle  fils immigrés  terrain minéOh   mande nt   terminer     trouver paix Shit connais  limites limites   mande nt  terminer yeux  gens  ja  soleil près  voisDe montrer chemin rallumer flamme  éteint  doisTu  loin lois     soir  étoile  noirTu  loin  demain reviens loin   vraiment choix augmente pression "
"3","DEHORS DANS LA NIGHT"," Partie   produit Mingo   Wunda   soirs quitte on juste  voir quel point  sombreDehors pleut  toutes saisons  tête sous     Claque porte   seize juste  voir quel point  sombre Dehors  monde perd raison  tête brûlée   Minuit passé traîne ceux dealent  rues  ville alibi  chercher biff vérité    cherche juste vivreComme Affranchis   mecs frais  films connais classiques      graphiqueMe reconnais  têtes défilent  peus Maman     différent voit  gueule  casting  Mais   facile mettre bien avant  nous   expliquer nt       ressent  nt dire   Donc sors soir deux bois goulot toute liqueur Pour avoir     juste   euxJ confronte    savoir   fond cris font hausser    dehors   plein motherfuck   soirs quitte on juste  voir quel point  sombreDehors pleut  toutes saisons  tête sous     Claque porte   seize juste  voir quel point  sombre Dehors monde perd raison  tête brûlée   Partie   produit KOBAYASHI     Dans night Solo   Jeune tisse  night Solo    seul soir soirées sont éclatéesMe parle        déplacéJ blanc noir même   placer Toujoursgalère  jeune tisse  nightJ pense bails  mettre money  side  mettre bouche messagerie Mais trop    seul  nightEst    vrai    pète câble    gens aiment     foutent  Pourquoi vois toujours monde blanc noir   Pourquoi  Toujours     reste place   espace seul dingue  plaît laisse Dans night Solo   Jeune tisse  night Solo   Trinity Vous semblez mélancolique soir diriez vous  programme entraînement   Territoire   extérieur  Conditions climatiques   excellentes  Programme pilotage haute vitesse   enclenché"
"4","HILLZ","  vallée roule  contrôlé   yeux rouges Elles   elles  rien foutreYeah yeah yeah yeah  fucked fucked bitch Yeah yeah yeah yeah  fuck     lice   mélo   tête    Viens tour  hills  laisse passer vitesses Deux mille euros  veste tournée   complet fais    plait rais tuer concu    avoue   ja croisé    essayent décrypter nts  euros demande nt descends pente schuss      news    temps  lose blanche  Canada Goose  blanco dois   fisc donne ja blaze Tout   risque  risque      fight  vallée roule  contrôlé   yeux rouges Elles   elles  rien foutreYeah yeah yeah yeah  fucked fucked bitch Yeah yeah yeah  fuck     lice          Quatre grammes       nous joues négro  attrape  tifs  terrain  pros fois vingt balles  shoes  rodav   caisse Injection botox  fesse nous cherches connais adresse Comme   maladresse pétasse  tire  tresse   stupéfiants  veste sens parfum  pièceCoke  shit  rien elles veulent çaChristian Dior  Givenchy  designer sont sapesY  assez places assises  trop reufs assises serviette  playa  faut remercier    vallée roule  contrôlé   yeux rouges Elles   elles  rien foutreYeah yeah yeah yeah  fucked fucked bitch Yeah yeah yeah yeah  fuck      vallée roule  contrôlé   yeux rouges Elles   elles  rien foutreYeah yeah yeah yeah  fucked fucked Yeah yeah yeah yeah  fuck       Noir     oublié  demander    meuf autre soir   blonde sa allais kiffer     blonde autre discrète  elle spéciale elle  Trinity"
"5","PLUG","   déjà dehors  avait toutes copines étais fond  noir étais fond  vice adéfis vivre ayeux  vide Yeah Bébé neuf   Monte  chop  partons     sachets   sacs  Pour      volonté   demande   peine     voudrais  enlève latex Tellement péchés ciel tomber  tête Quand  fais confiance           eyes  Dans club trop loups Shawty  fais gaffe     passe dessous Hier soir    boîte sans dessus  sans dessous Laisse enlever habits  ascenseur émotions planent apesanteur money   time peux patienter   déjà dehors  avait toutes copines étais fond  noir étais fond  vice adéfis vivre ayeux  vide Yeah Bébé neuf   Monte  chop  partons     sachets   sacs  Pour      volonté       Mais  étais    appeler   plaît  viens prendre    plaît chez Versace  chez Louis dépense  viens chercher  force      voit  pose fesses  ture Roule jeune   bosse   misère vouvoie    Côte Ivoire Terre peine provisoire fais monnaie fume  bois   prie  prends   Bébé neuf   Monte  chop  partons     sachets   sacs  Pour      volonté   déjà dehors   avait toutes copines étais fond  noir étais fond  vice adéfis vivre ayeux  vide Yeah "
"6","Menu principal","Interaction niveau   Taux compatibilité élevé  Mode stimulation émotionnelle   mélancolie  tristesse  adrénaline  violence  Choix confirmé"
"7","PIRANHA BABY","  Chut  piranha baby  hémoglobine  Levis sûrement nouveau love  bouffer  prévu  fuck  Plus rien fêter  piranha baby Ramène gars  rien péter  bouffer  prévu    Violent  colon change hémisphère   pète  check négros éméchés   club  juste  billet  yeah Parle   étais hier réponds téléphone prépayé  yeah Elle  charme    charbon    vibe vaudou Chacun couplets  albumdouble Piranha baby cœur peut réchauffer très vite  attends moins  sévir  deux fois  chaud agressif Bitch naked arrive fond  celui  pris  liquide rester piges donc augmente pression chiffres  appétit    Chut  piranha baby  fuck   hémoglobine  Levis  bouffer  prévu   rien fêter  piranha baby Ramène gars  rien péter  fuck Thomas  enlève autotune  plaît fais semblant  aime  paire fake   Misent  jeune métisse ambitieux grave  BACqueux     queTrente  billets  plaque  impact   attaque  fais passe ehNuméro neuf  ciudad  ramène gavas coup part aura  culpa      coupable concurrence devrait rester assise  très  mots doux courtoisie Toute critique sous ecstasy attend  sympathie Digitalmundo         fini combo    Amène vielles meufs flex  ouais tombeur  skurt  Comment tiens  déjà blèmes surmonter Elle  gueule  ja  aime toujours    cigale encore chanter   quête vérité  bloquée  teille Mets nous whisky  Peaky  Blinders crois  passer voir paki Mais inquiète tranquille  toutes cicatrices maquillent Même celles  coeur tous actes manqués         soin pleurer heures gard rais  rancœur  milieu écœure  toujours dalle   époque  rappais moins bien  Chut  piranha baby  hémoglobine  Levis sûrement nouveau love  bouffer  prévu  fuck  Plus rien fêter  piranha baby Ramène gars  rien péter  bouffer  prévu    Trinity Taux compatibilité critique vous attends  parking"
"8","TRINITYVILLE","   Pleins phares  pleine lune  ville Flamme sort   échappement  navigue Elle prête  elle  parking Pleins phares  pleine lune  Pleins phares  pleine lune  ville Flamme sort   échappement  navigue Elle chauffe  elle chauffe cœur cœur  parking Pleins phares  pleine lune  ville   Ramène   caisse  ramène   caisseTrinity  matrice  elle    latex  flex  Elle voudrait   blesse  elle  Très tard soir  appelle  après casser puce Jeune  toujours  temps  temps surfe   français   jambes  jambes   vision devient rouge  devient rouge  Quand change mood pétasse casse tour casse tour sors tour trop déter  prends tous     juste  mala passe tour  ouais passe tour  Business avant roule  cœur écrase    Pleins phares  pleine lune  ville Flamme sort   échappement  navigue Elle prête  elle  parking Pleins phares  pleine lune  yeah yeah  Pleins phares  pleine lune  ville Flamme sort   échappement  navigue Elle chauffe chauffes cœur cœur  parking Pleins phares  pleine lune   recompte lovés      love moiOn connait depuis      année  promis élever niveau level  bossé  never  fils immigré  grève  vivre tranquillement  Lamborghini manque  pilote soixante ansFlammes  yeux        fais   flex    développement durable apprendre  chercher frappe      bien  pire  numéro   équipe Chaque nouveau projet drift   adrénalineJ rais ja aimer jusqu  infini rais ja aimer jusqu  infini Pourquoi insérer    Pleins phares  pleine lune  ville Flamme sort   échappement  navigue Elle prête  elle  parking Pleins phares  pleine lune  yeah yeah  Pleins phares  pleine lune  ville Flamme sort   échappement  navigue Elle chauffe cœur  parking Pleins phares  pleine lune  ville"
"9","Mieux vaut pas regarder, Pt. 1"," nobody understands   Trinity Radio   Music   generation    Mendiant monsieur  monsieur  vous plaît  monsieur  vous auriez   tite pièce  ticket restaurant   Attendez minute"
"10","VAMONOS","      Mieux garder  garder Mieux garder vérité blesse Mieux garder  garder Mieux garder       Vaut mieux regarder  elle  jambes écartées  interdit moins seize  moins mots   moins sens loin    ancêtres Juste face   enfers   affaires  répété frère Regarde trop assiettes autres  elles toujours  pleines  fuck   mienne Tous rêves ados miettes réaliser mieux Fuck frère toujours chien    ressaisir ciao Mieuxtrop   ciel  réponse  vant yeux Rien foutre être  bien monde   garder price  étiquette  guette tête mecs  sécurité     seum   être leurs femmes trompent regarder misère monde  fond      être bien bosse  cartel colombien     pleurent    autres  rêvent    bats couilles  liasse  familia  puis Vamonos Frérot  plaît reste fiable  joue  mafieux    phone enflamme  bitch  enflamme  vieux contrat vingt mille Tout   rien       Sers          sachet Cette life  coup schlass  tâché sweat Versace donne  smile reste garder caché Vérité  Mieux garder  garder Mieux garder vérité blesse Mieux garder  garder Mieux garder      Vingt unième Vingt unième  gens   cœur   poumons   foieTrop messages privés  dois  garder mission  gérer  prude  vois  géré celle  voulais peux regarder  peux   voir prixmieux  garder   plaît achètepull deux fois  heinJe quoi  pèze fier  verbe  faudrait  bêtes sons pètent Faudrait   fils paye dettes  père dois assurer tant chef  fief sirote   pètent       chutent  Niagara   mouille    fous  gardien frère  frère    bats couilles Flingo liasse  familia  puis  allons  trucs tape  oeil  diams sentent sang    styleJ  combat civique  Honda Civic  négro   vite Tout   rien      diable croyait avoir  méchante Marianne croyait avoir  collège   aime suivre aime être suivi  cuisine  audio crack coupé seize blaze sera placardé    prime vois ceux triment  aime  garder   carte    carte  survie  frime   capté Mieux garder"
"11","AKANIZER","    Trinity Température trop élevée    Énervé  ja arrive       improviseDemande Samir  fais sonner basse  fais sonner Akrapovič Elle  jupe Chanel  elle   mette   très catholique  avis   flow unique  assortie  toujours laisse tirer de  muerte  compte minutes  compte secondes    bails arrive high ralenti  bike  laisse poser like  ja           tellement brutalement  médecin  donné calmants Appele police  témoins vont  arrêter maintenant vont  arrêter maintenant  laissé passé loin   rappe aujourd    lendemain      mystique     sont  Ouest ront tourner  retourner leurs vestes  aller retours  leurs têtes jour  autre  arrête  caisse fais  numéro  give tous dineros   nce    Énervé  ja arrive       improvise Demande Samir  fais sonner basse  fais sonner Akrapovič Elle  jupe Chanel  elle   mette   très catholique  avis   flow    Jump  piscine  flow  Italie fais   cabine    Trinity Crash système  Retour  état initial"
"12","BURNING MAN"," créé puis casse  merveilleux  détruis  chaque jour      verras  flamme brûle  yeux  détruis  chaque jour  merveilleux  kiffe    chaud  TijuanaQuand secoue   chanteur Nirvana Quand touche flamme    brûle doigts  chelou    plait yeahPour     doigts  piège   mander chemin   faut surmonter Rien  sonne    réponds   mentir  grands sourires  nt dire   rien  flemme  posé seum Toute life  cherché sommes  calcule   seum Inquiète plutôt         cœur  malade brûle  sous contrôle       Lentement brûle lentement  pansements  apaiser crâne Comment garder calme  violence manque   Lentement noyau crame créé puis casse  merveilleux  détruis  chaque jour      verras  flamme brûle  yeux  détruis  chaque jour  merveilleux baise magnifique  Mini rait durer  infini Mais vient finir  bouche chaude      bonnes choses  peur    peur  gagner temps Plein rage  plein vengeance ouais  nourris     souhaite Rien original   vivre cette    briser chaines épaisses Tous soirs quitte appart rentre nouveau   GPS  toujours trouvé bonne  console chez pestes bizarrement fais amour  reines alors   déteste regarde gueule  Zippo  inexpressif  cyborg  avant étais pauvre  galère dehors potes  rien   aussi beau Dieu préserve posséder  celui clashait Meek MillRiche léger prends  vitesse  droit vers mort          Lentement brûle lentement  pansements  apaiser crâne Comment garder calme  violence manque   Lentement noyau crame créé puis casse  merveilleux  détruis  chaque jour      verras  flamme brûle  yeux  détruis  chaque jour  merveilleux"
"13","Il était une fois sous l’eau","Utilisateur submergé  attaché   vous excusez Faites attention vous"
"14","LONGUE VIE...","  Allez vous souhaite longue   jure vous souhaite longue Allez vous souhaite longue   jure vous souhaite longue  creux  nuit recompte biff vrais amis Faut   organise  soit  retire  soit double mise      partie cartes monde tricheOù monde rêve rafler sans prendre moindre risque   pitié  laisse tomber   achangé   avait plein champagne  parputes  grosses soirées  toujours couteaux  estomac apprends juste mieux digérer fêterai ja dées bitch    pire  ennemis Avant crever  grand mère  faut  vois empire agrandir fera  être ja grands titres   vendus Mais peux garantir tous frères souhaitent longue   jure vous souhaite longue Allez vous souhaite longue   jure vous souhaite longue  sortir prendre flash      fois vant épicier   dire  voilà   voile       être malade   planète   salopes  disent  fais  ouais Fuck   artiste  rien part partir jour Route  enfer   bécane  funambule roule  filJ invoque esprits   Shaman King  wowLes sentiments diminuent  diminuent  diminuent   garde certainsJ  street   Farès  Jahreed  Nabil Manos nous joindreÉvidemment   équipage depuis époque  avaitespoir Maintenant pote   auraient   pièce  destin   Mais céderai   mecs stard  veulent juste profiter notre vibe Parce noir   quittent pièce retourne premier étage fierté maximale  tant     remercie Dieu  soir  famille  amis   animal  vois  veulent peau Donc protéger  Allez vous souhaite longue   jure vous souhaite longue Allez vous souhaite longue   jure vous souhaite longue "
"15","Mieux vaut pas regarder, Pt. 2","  Trinity   Tous taux sont minimum diriez vous  nouveau programme entrainement mode hélicoptère bien simulation  sniper      Arrête parler  tête  fais péter plombs  quoi   Déconnecte Trinity accord  Choix confirmé   Mendiant Monsieur  Monsieur  vous plait    vous    vous  vous étiez  grosse voiture autre jour  Vous auriez   tite pièce cette fois Attend regarde  désolé  rien   Mendiant   Mais   grave grave gars comprends       gars façon      Ouais    Mendiant jeune homme   poche   whisky Hein        Ouais   whisky   Mendiant   donnes  Ouais allez quoi Mendiant merci gars   époque étais   étais bien  beau jour   perdu  Écoute raconter histoire   "
"16","...DE BATARD","  ouvre yeux regarde réveil   sonné  treize heures Fucktélé connais gueule  gaffe  quinze heures sors   enfile shortmême hier    Juventus  Puis toque   femme  elle  grave chier  elle   répéter  bâtard Elle  tort  espère bien elle  cramé messages  voisine envoie   heures  pire     gamine lundi dernier avait meuf étais calbar Quel bordel     fermer gueule  reste entre nous   achèterai iPhone Mais    taff   merde donc allume Play roule double feuille fume grosse taff Sports    game casse  couilles Mais  sérieux    foutu euro tête    oseille    Play Pour     premier      huit mois  pointes assedics   assez   taffe jours sept  toute miff boss   fils pute   baises  perdu couilles  rien branler   compte premium RedTube      marqué   mois  paye  loyer  huissier laisse lettres  pallier    fille      rappelles     elle   heure actuelle   Avec  elle traîne   Putain  reçu bulletins  elle entrain déraper  elle  traîner  tess   attend ailleurs appeler  ouais  sonne  sûrement répondre fume clope vant   flemme aller  école      trop beau  père    trop        tromper mère donc fais    brefJ treize piges       trouve jolie   neuf  vient voir     mots gentils genre        baise     genre prend  tête bien reste entre nous  tellement gentil  tellement sensible   sentir  quelqu  spécial     dise    salope  ouais  ouais  ouais  nique avis autres donc monte  caisse  touche cuisse coup stresse  dire regarde gauche regarde droite  personne nous   part   costume noir  Couplet  arrive  adresse convenue vois gamine  regarde bizarre  vois gars   léchouilles fais   a   détourne visage continue droit cherche appart  numéro  arrive devant porte  avant toquerdoigt    bœuf devinera    courrier  fais     barre avant  ciel pleuve            Maître   effectuer saisie  saisie      saisit moins  tenez  signez   lettre tribunal    attendre  aura argent     saletés   enlèvent détergent fais inventaire regarde     va enchères  primes  gros salaire    gars embarquer écran plat premier touchez   oubliez  vêtements marque  PS    cette famille effarante  murs   traces apparentes  vivement   casse  dégueulasse    daronne  adossée  meuble  elle  larmes yeux    décaler dois embarquer  putain laisserai  parquet  revendable désolé  fais  Quand      allais aller  était tard   répondu    putain  quelle  bâtard ouais    elle spéciale histoire bonne continuation Mendiant poto reste      reste "
"17","Tentative de reconnexion","  Reconnexion Trinity touche  touche     Dégage  dégage    rien    rien"
"18","POIZON","  Maintenant elle goûté poizon  elle  rien autre Elle  rien voir  elle  rien croireQuand mélange passion  frustrationOn contrôle  rien  équation  vois  es   es  Vraiment      transe   es  Vraiment ralentis peine  trop vitePutain était     était   hanElle goûté poizon  envoûtée elle goûté poizon     maitrise  équation  elle goûté poizon crois bien elle perd raison  fruit  passion trop empoisonnéElle   monde     mort  cloisonnéJ fais  toute année  appelle   planer    condamné  deux  trois potos cramés  file vite  allemande   allemande  Téléphone       mande     mande  elle cherche elle  manque   Parce elle goûté poizon  elle  rien autre Elle  rien voir  elle  rien croireQuand mélange passion  frustrationOn contrôle  rien  équation  vois  es   es  Vraiment      transe   es  Vraiment ralentis peine  trop vitePutain était     était   hanElle goûté poizon  envoûtée elle goûté poizon     maitrise  équation  elle goûté poizon pilote  sans mains    Poser yeux  miens   première erreur  di mènerait rien    écoutais rien Donc  allé  loin  donc  créé liens Fuck cette life      Faut  sorte cette chambre avant aube  avant aube  Elle   elle jusqu  overdose demande  avis bien  voulais  arriver  voulais couler larmes  demande    malQuelle  coufond   ShitEt crois elle restée bloquée  matrice elle goûté poizon  elle  rien autre Elle  rien voir  elle  rien croireQuand mélange passion  frustrationOn contrôle  rien  équation  vois  es   es  Vraiment      transe   es  Vraiment ralentis peine  trop vitePutain était     était   hanElle goûté poizon  envoûtée elle goûté poizon    maitrise  équation  elle goûté poizon"
"19","NAKRé","   choses sont sacréesY  yeux sont nacrésJ aimerais   arrière   compte navré  vois gens  autour disent   aiment   donne sourire Trop trop vrai  trop sincère prend  Dans cette   autre  trop merdeJ   ambition  problèmes ramènent Sans cessevices tournent boucle  tous tieks mecs disent  chaud   lâche           arrête     passe  parler  Quel sera poids  existence   Pourquoi jacte depuis temps   Pourquoi  crois  gosse vant portes fermées seul   atmosphère  bats même  sertUn jour villa bord   Mais   juste  mourir honneur raconte cette life triste pénible  délivre seulement   noie   choses sont sacréesY  yeux sont nacrés aimerais revenir arrière   compte navré  vrai navré   toutes fois        route  enfer   Aprilia   erreurs   toujours avant après Ja     étais par            importe        vois loin  voit      enfin ouais   signé  feuille Fais genre  connais  connais clauses connais   diezs depuis début  sommes décupler Fuck   temps étudier  tant limites repousser Dommage  grimpé  trébuché  maman  pêché  Mais était   était autre Vision faussée  euros      compte Bébé  tunnel    lumière       tous morts depuis longtemps fies  dates  tombes Triste obscur    Mais   choses sont sacréesY  yeux sont nacrés aimerais revenir arrière   compte navré     Trinity Reconnexion Trinity    Impossible"
"20","MILLION FLOWERZ","   espère    trouvé bonheur ailleurs   vant porte million flowers vant porte million flowers     trop tard    toujours  heure   gens éloignent  voit va  choses    égal     partie ailleurs   sonne  mélodie sans harmonieJ traîne peine  tous mélancoliques anonymesJ  vingtaine  triste  Merco Benz Sur pense  autre projets tombent   Pourtant bien     homme  mieux     liasse    faut autre  mama Corazon troué fusil assaut  buenos días love réponds   allô   espère    trouvé bonheur ailleurs   vant porte million flowers   espère    trouvé bonheur ailleurs   vant porte million flowers   espère    trouvé bonheur ailleurs   vant porte million flowers     Trinity    fleurs      aucun effet  trop tard   mieux  "
"21","Manuel d’utilisation","     Pourquoi  fais Trinity  cherches réponse    question  inquiète      Tout    vécu était réel moins     Trinity concepts réalité  virtualité sont très flous   désolée      Mais     Trinity    Trinity  Logiciel stimulation émotions"
"22","LOGICIEL TRISTE"," soir grave triste sales choses messagerie cerveau  saltos Tout monde    être heureux grave triste    donne envie sales choses appelle   enverrai vers messagerie fois   impression être logiciel Programmé  mentir tomber ficelle bâtir paradis sûrement bien trop artificiel  fais gueule défilés mode Margiela  trop loin chez   sens super      cher   schéma dessine     H    tatoué  rien fêter  rien fêter soir grave triste sales choses messagerie cerveau  saltos Tout monde    être heureux grave triste    donne envie sales choses appelle   enverrai vers messagerie aura remise question attend  appelJ tellement  erreurs  sûrement oublié laquelle Laquelle  blessé  laquelle  laissé cicatrices cœur  saquel point peux  compter miennes peut cacher peines  allait tombant teilles Pour atténuer gris peut acheter bleu    étéOn peut chercher tellement occupations sans ja trouver paix  préfère guerre  Frérot    bien payé  sens  mercenaire  bien    fais  freestyle même   vraiment fort    fort hier    tort nier comprendras  corbillard comprendras  corbillard soir grave triste sales choses messagerie cerveau  salto Tout monde    être heureux grave triste    donne envie sales choses appelle   enverrai vers messagerie     Trinity Extinction programme Trinity"
